path_id,path_name,gene_name,description
hsa04020,Calcium signaling pathway,FGFR3,fibroblast growth factor receptor 3 [KO:K05094] [EC:2.7.10.1]
hsa04020,Calcium signaling pathway,FGFR2,fibroblast growth factor receptor 2 [KO:K05093] [EC:2.7.10.1]
hsa04020,Calcium signaling pathway,FGFR4,fibroblast growth factor receptor 4 [KO:K05095] [EC:2.7.10.1]
hsa04020,Calcium signaling pathway,VEGFD,vascular endothelial growth factor D [KO:K05449]
hsa04020,Calcium signaling pathway,P2RX2,purinergic receptor P2X 2 [KO:K05216]
hsa04020,Calcium signaling pathway,FLT1,fms related receptor tyrosine kinase 1 [KO:K05096] [EC:2.7.10.1]
hsa04020,Calcium signaling pathway,PLCB1,phospholipase C beta 1 [KO:K05858] [EC:3.1.4.11]
hsa04020,Calcium signaling pathway,FLT4,fms related receptor tyrosine kinase 4 [KO:K05097] [EC:2.7.10.1]
hsa04020,Calcium signaling pathway,MCOLN2,mucolipin TRP cation channel 2 [KO:K04993]
hsa04020,Calcium signaling pathway,FGF20,fibroblast growth factor 20 [KO:K04358]
hsa04020,Calcium signaling pathway,FGF21,fibroblast growth factor 21 [KO:K22429]
hsa04020,Calcium signaling pathway,GDNF,glial cell derived neurotrophic factor [KO:K05452]
hsa04020,Calcium signaling pathway,FGF22,fibroblast growth factor 22 [KO:K04358]
hsa04020,Calcium signaling pathway,GNA11,G protein subunit alpha 11 [KO:K04635]
hsa04020,Calcium signaling pathway,GNA15,G protein subunit alpha 15 [KO:K04637]
hsa04020,Calcium signaling pathway,GNAL,G protein subunit alpha L [KO:K04633]
hsa04020,Calcium signaling pathway,GNAQ,G protein subunit alpha q [KO:K04634]
hsa04020,Calcium signaling pathway,GNAS,GNAS complex locus [KO:K04632]
hsa04020,Calcium signaling pathway,GRIN1,glutamate ionotropic receptor NMDA type subunit 1 [KO:K05208]
hsa04020,Calcium signaling pathway,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A [KO:K05209]
hsa04020,Calcium signaling pathway,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B [KO:K05210]
hsa04020,Calcium signaling pathway,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C [KO:K05211]
hsa04020,Calcium signaling pathway,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D [KO:K05212]
hsa04020,Calcium signaling pathway,SLC25A4,solute carrier family 25 member 4 [KO:K05863]
hsa04020,Calcium signaling pathway,GRM1,glutamate metabotropic receptor 1 [KO:K04603]
hsa04020,Calcium signaling pathway,GRM5,glutamate metabotropic receptor 5 [KO:K04604]
hsa04020,Calcium signaling pathway,SLC25A5,solute carrier family 25 member 5 [KO:K05863]
hsa04020,Calcium signaling pathway,GRPR,gastrin releasing peptide receptor [KO:K04169]
hsa04020,Calcium signaling pathway,SLC25A6,solute carrier family 25 member 6 [KO:K05863]
hsa04020,Calcium signaling pathway,HGF,hepatocyte growth factor [KO:K05460]
hsa04020,Calcium signaling pathway,HRH1,histamine receptor H1 [KO:K04149]
hsa04020,Calcium signaling pathway,HRC,histidine rich calcium binding protein [KO:K23450]
hsa04020,Calcium signaling pathway,HRH2,histamine receptor H2 [KO:K04150]
hsa04020,Calcium signaling pathway,HTR2A,5-hydroxytryptamine receptor 2A [KO:K04157]
hsa04020,Calcium signaling pathway,HTR2B,5-hydroxytryptamine receptor 2B [KO:K04157]
hsa04020,Calcium signaling pathway,HTR2C,5-hydroxytryptamine receptor 2C [KO:K04157]
hsa04020,Calcium signaling pathway,HTR4,5-hydroxytryptamine receptor 4 [KO:K04160]
hsa04020,Calcium signaling pathway,HTR5A,5-hydroxytryptamine receptor 5A [KO:K04161]
hsa04020,Calcium signaling pathway,HTR6,5-hydroxytryptamine receptor 6 [KO:K04162]
hsa04020,Calcium signaling pathway,HTR7,5-hydroxytryptamine receptor 7 [KO:K04163]
hsa04020,Calcium signaling pathway,MYLK4,myosin light chain kinase family member 4 [KO:K00907] [EC:2.7.11.18]
hsa04020,Calcium signaling pathway,ITPKA,inositol-trisphosphate 3-kinase A [KO:K00911] [EC:2.7.1.127]
hsa04020,Calcium signaling pathway,ITPKB,inositol-trisphosphate 3-kinase B [KO:K00911] [EC:2.7.1.127]
hsa04020,Calcium signaling pathway,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1 [KO:K04958]"
hsa04020,Calcium signaling pathway,ITPR2,"inositol 1,4,5-trisphosphate receptor type 2 [KO:K04959]"
hsa04020,Calcium signaling pathway,ITPR3,"inositol 1,4,5-trisphosphate receptor type 3 [KO:K04960]"
hsa04020,Calcium signaling pathway,KDR,kinase insert domain receptor [KO:K05098] [EC:2.7.10.1]
hsa04020,Calcium signaling pathway,LHCGR,luteinizing hormone/choriogonadotropin receptor [KO:K04248]
hsa04020,Calcium signaling pathway,ARLN,allregulin [KO:K26467]
hsa04020,Calcium signaling pathway,MET,"MET proto-oncogene, receptor tyrosine kinase [KO:K05099] [EC:2.7.10.1]"
hsa04020,Calcium signaling pathway,ASPH,aspartate beta-hydroxylase [KO:K00476] [EC:1.14.11.16]
hsa04020,Calcium signaling pathway,MST1,macrophage stimulating 1 [KO:K23441]
hsa04020,Calcium signaling pathway,MST1R,macrophage stimulating 1 receptor [KO:K05100] [EC:2.7.10.1]
hsa04020,Calcium signaling pathway,MYLK,myosin light chain kinase [KO:K00907] [EC:2.7.11.18]
hsa04020,Calcium signaling pathway,NFATC1,nuclear factor of activated T cells 1 [KO:K04446]
hsa04020,Calcium signaling pathway,NFATC2,nuclear factor of activated T cells 2 [KO:K17332]
hsa04020,Calcium signaling pathway,NFATC3,nuclear factor of activated T cells 3 [KO:K17333]
hsa04020,Calcium signaling pathway,NFATC4,nuclear factor of activated T cells 4 [KO:K17334]
hsa04020,Calcium signaling pathway,NGF,nerve growth factor [KO:K02582]
hsa04020,Calcium signaling pathway,NOS1,nitric oxide synthase 1 [KO:K13240] [EC:1.14.13.39]
hsa04020,Calcium signaling pathway,NOS2,nitric oxide synthase 2 [KO:K13241] [EC:1.14.13.39]
hsa04020,Calcium signaling pathway,NOS3,nitric oxide synthase 3 [KO:K13242] [EC:1.14.13.39]
hsa04020,Calcium signaling pathway,ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [KO:K05853] [EC:7.2.2.10]
hsa04020,Calcium signaling pathway,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [KO:K05853] [EC:7.2.2.10]
hsa04020,Calcium signaling pathway,ATP2A3,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3 [KO:K05853] [EC:7.2.2.10]
hsa04020,Calcium signaling pathway,ATP2B1,ATPase plasma membrane Ca2+ transporting 1 [KO:K05850] [EC:7.2.2.10]
hsa04020,Calcium signaling pathway,ATP2B2,ATPase plasma membrane Ca2+ transporting 2 [KO:K05850] [EC:7.2.2.10]
hsa04020,Calcium signaling pathway,NTRK1,neurotrophic receptor tyrosine kinase 1 [KO:K03176] [EC:2.7.10.1]
hsa04020,Calcium signaling pathway,NTRK2,neurotrophic receptor tyrosine kinase 2 [KO:K04360] [EC:2.7.10.1]
hsa04020,Calcium signaling pathway,NTRK3,neurotrophic receptor tyrosine kinase 3 [KO:K05101] [EC:2.7.10.1]
hsa04020,Calcium signaling pathway,ATP2B3,ATPase plasma membrane Ca2+ transporting 3 [KO:K05850] [EC:7.2.2.10]
hsa04020,Calcium signaling pathway,NTSR1,neurotensin receptor 1 [KO:K04211]
hsa04020,Calcium signaling pathway,ATP2B4,ATPase plasma membrane Ca2+ transporting 4 [KO:K05850] [EC:7.2.2.10]
hsa04020,Calcium signaling pathway,OXTR,oxytocin receptor [KO:K04229]
hsa04020,Calcium signaling pathway,P2RX1,purinergic receptor P2X 1 [KO:K05215]
hsa04020,Calcium signaling pathway,P2RX3,purinergic receptor P2X 3 [KO:K05217]
hsa04020,Calcium signaling pathway,P2RX4,purinergic receptor P2X 4 [KO:K05218]
hsa04020,Calcium signaling pathway,P2RX5,purinergic receptor P2X 5 [KO:K05219]
hsa04020,Calcium signaling pathway,P2RX7,purinergic receptor P2X 7 [KO:K05220]
hsa04020,Calcium signaling pathway,PLCE1,phospholipase C epsilon 1 [KO:K05860] [EC:3.1.4.11]
hsa04020,Calcium signaling pathway,PDE1A,phosphodiesterase 1A [KO:K13755] [EC:3.1.4.17]
hsa04020,Calcium signaling pathway,PDE1C,phosphodiesterase 1C [KO:K13755] [EC:3.1.4.17]
hsa04020,Calcium signaling pathway,PDE1B,phosphodiesterase 1B [KO:K13755] [EC:3.1.4.17]
hsa04020,Calcium signaling pathway,PDGFA,platelet derived growth factor subunit A [KO:K04359]
hsa04020,Calcium signaling pathway,PDGFB,platelet derived growth factor subunit B [KO:K17386]
hsa04020,Calcium signaling pathway,PDGFRA,platelet derived growth factor receptor alpha [KO:K04363] [EC:2.7.10.1]
hsa04020,Calcium signaling pathway,PDGFRB,platelet derived growth factor receptor beta [KO:K05089] [EC:2.7.10.1]
hsa04020,Calcium signaling pathway,CALML5,calmodulin like 5 [KO:K02183]
hsa04020,Calcium signaling pathway,PHKA1,phosphorylase kinase regulatory subunit alpha 1 [KO:K07190]
hsa04020,Calcium signaling pathway,PHKA2,phosphorylase kinase regulatory subunit alpha 2 [KO:K07190]
hsa04020,Calcium signaling pathway,PHKB,phosphorylase kinase regulatory subunit beta [KO:K07190]
hsa04020,Calcium signaling pathway,PHKG1,phosphorylase kinase catalytic subunit gamma 1 [KO:K00871] [EC:2.7.11.19]
hsa04020,Calcium signaling pathway,PHKG2,phosphorylase kinase catalytic subunit gamma 2 [KO:K00871] [EC:2.7.11.19]
hsa04020,Calcium signaling pathway,PLCB2,phospholipase C beta 2 [KO:K05858] [EC:3.1.4.11]
hsa04020,Calcium signaling pathway,PLCB3,phospholipase C beta 3 [KO:K05858] [EC:3.1.4.11]
hsa04020,Calcium signaling pathway,PLCB4,phospholipase C beta 4 [KO:K05858] [EC:3.1.4.11]
hsa04020,Calcium signaling pathway,PLCD1,phospholipase C delta 1 [KO:K05857] [EC:3.1.4.11]
hsa04020,Calcium signaling pathway,PLCG1,phospholipase C gamma 1 [KO:K01116] [EC:3.1.4.11]
hsa04020,Calcium signaling pathway,PLCG2,phospholipase C gamma 2 [KO:K05859] [EC:3.1.4.11]
hsa04020,Calcium signaling pathway,TPCN1,two pore segment channel 1 [KO:K16896]
hsa04020,Calcium signaling pathway,PLN,phospholamban [KO:K05852]
hsa04020,Calcium signaling pathway,AVPR1A,arginine vasopressin receptor 1A [KO:K04226]
hsa04020,Calcium signaling pathway,MCOLN3,mucolipin TRP cation channel 3 [KO:K04994]
hsa04020,Calcium signaling pathway,AVPR1B,arginine vasopressin receptor 1B [KO:K04227]
hsa04020,Calcium signaling pathway,PPP3CA,protein phosphatase 3 catalytic subunit alpha [KO:K04348] [EC:3.1.3.16]
hsa04020,Calcium signaling pathway,PPP3CB,protein phosphatase 3 catalytic subunit beta [KO:K04348] [EC:3.1.3.16]
hsa04020,Calcium signaling pathway,PPP3CC,protein phosphatase 3 catalytic subunit gamma [KO:K04348] [EC:3.1.3.16]
hsa04020,Calcium signaling pathway,PPP3R1,"protein phosphatase 3 regulatory subunit B, alpha [KO:K06268]"
hsa04020,Calcium signaling pathway,PPP3R2,"protein phosphatase 3 regulatory subunit B, beta [KO:K06268]"
hsa04020,Calcium signaling pathway,PRKACA,protein kinase cAMP-activated catalytic subunit alpha [KO:K04345] [EC:2.7.11.11]
hsa04020,Calcium signaling pathway,PRKACB,protein kinase cAMP-activated catalytic subunit beta [KO:K04345] [EC:2.7.11.11]
hsa04020,Calcium signaling pathway,PRKACG,protein kinase cAMP-activated catalytic subunit gamma [KO:K04345] [EC:2.7.11.11]
hsa04020,Calcium signaling pathway,PRKCA,protein kinase C alpha [KO:K02677] [EC:2.7.11.13]
hsa04020,Calcium signaling pathway,PRKCB,protein kinase C beta [KO:K19662] [EC:2.7.11.13]
hsa04020,Calcium signaling pathway,PRKCG,protein kinase C gamma [KO:K19663] [EC:2.7.11.13]
hsa04020,Calcium signaling pathway,PDGFC,platelet derived growth factor C [KO:K05450]
hsa04020,Calcium signaling pathway,LTB4R2,leukotriene B4 receptor 2 [KO:K04297]
hsa04020,Calcium signaling pathway,SPHK2,sphingosine kinase 2 [KO:K04718] [EC:2.7.1.91]
hsa04020,Calcium signaling pathway,CYSLTR2,cysteinyl leukotriene receptor 2 [KO:K04323]
hsa04020,Calcium signaling pathway,CAMK1D,calcium/calmodulin dependent protein kinase ID [KO:K08794] [EC:2.7.11.17]
hsa04020,Calcium signaling pathway,CAMK1G,calcium/calmodulin dependent protein kinase IG [KO:K08794] [EC:2.7.11.17]
hsa04020,Calcium signaling pathway,MCOLN1,mucolipin TRP cation channel 1 [KO:K04992]
hsa04020,Calcium signaling pathway,PTAFR,platelet activating factor receptor [KO:K04279]
hsa04020,Calcium signaling pathway,PTGER1,prostaglandin E receptor 1 [KO:K04258]
hsa04020,Calcium signaling pathway,PTGER3,prostaglandin E receptor 3 [KO:K04260]
hsa04020,Calcium signaling pathway,PTGFR,prostaglandin F receptor [KO:K04262]
hsa04020,Calcium signaling pathway,STIM2,stromal interaction molecule 2 [KO:K18196]
hsa04020,Calcium signaling pathway,RET,ret proto-oncogene [KO:K05126] [EC:2.7.10.1]
hsa04020,Calcium signaling pathway,BDKRB1,bradykinin receptor B1 [KO:K03915]
hsa04020,Calcium signaling pathway,BDKRB2,bradykinin receptor B2 [KO:K03916]
hsa04020,Calcium signaling pathway,RYR1,ryanodine receptor 1 [KO:K04961]
hsa04020,Calcium signaling pathway,RYR2,ryanodine receptor 2 [KO:K04962]
hsa04020,Calcium signaling pathway,RYR3,ryanodine receptor 3 [KO:K04963]
hsa04020,Calcium signaling pathway,SLC8A2,solute carrier family 8 member A2 [KO:K05849]
hsa04020,Calcium signaling pathway,SLC8A1,solute carrier family 8 member A1 [KO:K05849]
hsa04020,Calcium signaling pathway,SLC8A3,solute carrier family 8 member A3 [KO:K05849]
hsa04020,Calcium signaling pathway,SLN,sarcolipin [KO:K22642]
hsa04020,Calcium signaling pathway,STIM1,stromal interaction molecule 1 [KO:K16059]
hsa04020,Calcium signaling pathway,TACR2,tachykinin receptor 2 [KO:K04223]
hsa04020,Calcium signaling pathway,TACR1,tachykinin receptor 1 [KO:K04222]
hsa04020,Calcium signaling pathway,TACR3,tachykinin receptor 3 [KO:K04224]
hsa04020,Calcium signaling pathway,TBXA2R,thromboxane A2 receptor [KO:K04264]
hsa04020,Calcium signaling pathway,TGFA,transforming growth factor alpha [KO:K08774]
hsa04020,Calcium signaling pathway,TNNC2,"troponin C2, fast skeletal type [KO:K12042]"
hsa04020,Calcium signaling pathway,TNNC1,"troponin C1, slow skeletal and cardiac type [KO:K05865]"
hsa04020,Calcium signaling pathway,TRHR,thyrotropin releasing hormone receptor [KO:K04282]
hsa04020,Calcium signaling pathway,VDAC1,voltage dependent anion channel 1 [KO:K05862]
hsa04020,Calcium signaling pathway,VDAC2,voltage dependent anion channel 2 [KO:K15040]
hsa04020,Calcium signaling pathway,VDAC3,voltage dependent anion channel 3 [KO:K15041]
hsa04020,Calcium signaling pathway,VEGFA,vascular endothelial growth factor A [KO:K05448]
hsa04020,Calcium signaling pathway,VEGFB,vascular endothelial growth factor B [KO:K16858]
hsa04020,Calcium signaling pathway,VEGFC,vascular endothelial growth factor C [KO:K05449]
hsa04020,Calcium signaling pathway,CACNA1A,calcium voltage-gated channel subunit alpha1 A [KO:K04344]
hsa04020,Calcium signaling pathway,CACNA1B,calcium voltage-gated channel subunit alpha1 B [KO:K04849]
hsa04020,Calcium signaling pathway,CACNA1C,calcium voltage-gated channel subunit alpha1 C [KO:K04850]
hsa04020,Calcium signaling pathway,CACNA1D,calcium voltage-gated channel subunit alpha1 D [KO:K04851]
hsa04020,Calcium signaling pathway,CACNA1E,calcium voltage-gated channel subunit alpha1 E [KO:K04852]
hsa04020,Calcium signaling pathway,CACNA1F,calcium voltage-gated channel subunit alpha1 F [KO:K04853]
hsa04020,Calcium signaling pathway,CACNA1S,calcium voltage-gated channel subunit alpha1 S [KO:K04857]
hsa04020,Calcium signaling pathway,CXCR4,C-X-C motif chemokine receptor 4 [KO:K04189]
hsa04020,Calcium signaling pathway,TFEB,transcription factor EB [KO:K15590]
hsa04020,Calcium signaling pathway,CALM1,calmodulin 1 [KO:K02183]
hsa04020,Calcium signaling pathway,ORAI2,ORAI calcium release-activated calcium modulator 2 [KO:K16057]
hsa04020,Calcium signaling pathway,ITPKC,inositol-trisphosphate 3-kinase C [KO:K00911] [EC:2.7.1.127]
hsa04020,Calcium signaling pathway,PDGFD,platelet derived growth factor D [KO:K05450]
hsa04020,Calcium signaling pathway,CALM2,calmodulin 2 [KO:K02183]
hsa04020,Calcium signaling pathway,FGF23,fibroblast growth factor 23 [KO:K22428]
hsa04020,Calcium signaling pathway,CALM3,calmodulin 3 [KO:K02183]
hsa04020,Calcium signaling pathway,CALML3,calmodulin like 3 [KO:K02183]
hsa04020,Calcium signaling pathway,CAMK4,calcium/calmodulin dependent protein kinase IV [KO:K05869] [EC:2.7.11.17]
hsa04020,Calcium signaling pathway,CAMK2A,calcium/calmodulin dependent protein kinase II alpha [KO:K04515] [EC:2.7.11.17]
hsa04020,Calcium signaling pathway,CAMK2B,calcium/calmodulin dependent protein kinase II beta [KO:K04515] [EC:2.7.11.17]
hsa04020,Calcium signaling pathway,CAMK2D,calcium/calmodulin dependent protein kinase II delta [KO:K04515] [EC:2.7.11.17]
hsa04020,Calcium signaling pathway,CAMK2G,calcium/calmodulin dependent protein kinase II gamma [KO:K04515] [EC:2.7.11.17]
hsa04020,Calcium signaling pathway,SLC25A31,solute carrier family 25 member 31 [KO:K05863]
hsa04020,Calcium signaling pathway,CASQ1,calsequestrin 1 [KO:K23468]
hsa04020,Calcium signaling pathway,CASQ2,calsequestrin 2 [KO:K23445]
hsa04020,Calcium signaling pathway,PLCD4,phospholipase C delta 4 [KO:K05857] [EC:3.1.4.11]
hsa04020,Calcium signaling pathway,ORAI1,ORAI calcium release-activated calcium modulator 1 [KO:K16056]
hsa04020,Calcium signaling pathway,CAMK1,calcium/calmodulin dependent protein kinase I [KO:K08794] [EC:2.7.11.17]
hsa04020,Calcium signaling pathway,MYLK2,myosin light chain kinase 2 [KO:K00907] [EC:2.7.11.18]
hsa04020,Calcium signaling pathway,FGF18,fibroblast growth factor 18 [KO:K04358]
hsa04020,Calcium signaling pathway,FGF17,fibroblast growth factor 17 [KO:K04358]
hsa04020,Calcium signaling pathway,FGF16,fibroblast growth factor 16 [KO:K04358]
hsa04020,Calcium signaling pathway,CCKAR,cholecystokinin A receptor [KO:K04194]
hsa04020,Calcium signaling pathway,CCKBR,cholecystokinin B receptor [KO:K04195]
hsa04020,Calcium signaling pathway,SPHK1,sphingosine kinase 1 [KO:K04718] [EC:2.7.1.91]
hsa04020,Calcium signaling pathway,CACNA1I,calcium voltage-gated channel subunit alpha1 I [KO:K04856]
hsa04020,Calcium signaling pathway,CACNA1H,calcium voltage-gated channel subunit alpha1 H [KO:K04855]
hsa04020,Calcium signaling pathway,CACNA1G,calcium voltage-gated channel subunit alpha1 G [KO:K04854]
hsa04020,Calcium signaling pathway,CHRFAM7A,CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion [KO:K04809]
hsa04020,Calcium signaling pathway,PLCZ1,phospholipase C zeta 1 [KO:K05861] [EC:3.1.4.11]
hsa04020,Calcium signaling pathway,MCU,mitochondrial calcium uniporter [KO:K20858]
hsa04020,Calcium signaling pathway,P2RX6,purinergic receptor P2X 6 [KO:K05221]
hsa04020,Calcium signaling pathway,MYLK3,myosin light chain kinase 3 [KO:K00907] [EC:2.7.11.18]
hsa04020,Calcium signaling pathway,CALML4,calmodulin like 4 [KO:K02183]
hsa04020,Calcium signaling pathway,ORAI3,ORAI calcium release-activated calcium modulator 3 [KO:K16058]
hsa04020,Calcium signaling pathway,CD38,CD38 molecule [KO:K01242] [EC:3.2.2.6 2.4.99.20]
hsa04020,Calcium signaling pathway,GNA14,G protein subunit alpha 14 [KO:K04636]
hsa04020,Calcium signaling pathway,FGF19,fibroblast growth factor 19 [KO:K22603]
hsa04070,Phosphatidylinositol signaling system,PI4KA,phosphatidylinositol 4-kinase alpha [KO:K00888] [EC:2.7.1.67]
hsa04070,Phosphatidylinositol signaling system,PI4KB,phosphatidylinositol 4-kinase beta [KO:K19801] [EC:2.7.1.67]
hsa04070,Phosphatidylinositol signaling system,PI4K2B,phosphatidylinositol 4-kinase type 2 beta [KO:K13711] [EC:2.7.1.67]
hsa04070,Phosphatidylinositol signaling system,PI4K2A,phosphatidylinositol 4-kinase type 2 alpha [KO:K13711] [EC:2.7.1.67]
hsa04070,Phosphatidylinositol signaling system,SACM1L,SAC1 like phosphatidylinositide phosphatase [KO:K21797] [EC:3.1.3.-]
hsa04070,Phosphatidylinositol signaling system,INPP5F,inositol polyphosphate-5-phosphatase F [KO:K21798] [EC:3.1.3.-]
hsa04070,Phosphatidylinositol signaling system,PIP5K1C,phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [KO:K00889] [EC:2.7.1.68]
hsa04070,Phosphatidylinositol signaling system,PIP5K1A,phosphatidylinositol-4-phosphate 5-kinase type 1 alpha [KO:K00889] [EC:2.7.1.68]
hsa04070,Phosphatidylinositol signaling system,PIP5K1B,phosphatidylinositol-4-phosphate 5-kinase type 1 beta [KO:K00889] [EC:2.7.1.68]
hsa04070,Phosphatidylinositol signaling system,INPP5B,inositol polyphosphate-5-phosphatase B [KO:K01099] [EC:3.1.3.36]
hsa04070,Phosphatidylinositol signaling system,OCRL,OCRL inositol polyphosphate-5-phosphatase [KO:K01099] [EC:3.1.3.36]
hsa04070,Phosphatidylinositol signaling system,INPP5E,inositol polyphosphate-5-phosphatase E [KO:K20278] [EC:3.1.3.36]
hsa04070,Phosphatidylinositol signaling system,SYNJ1,synaptojanin 1 [KO:K20279] [EC:3.1.3.36]
hsa04070,Phosphatidylinositol signaling system,SYNJ2,synaptojanin 2 [KO:K20279] [EC:3.1.3.36]
hsa04070,Phosphatidylinositol signaling system,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [KO:K00922] [EC:2.7.1.153]"
hsa04070,Phosphatidylinositol signaling system,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [KO:K00922] [EC:2.7.1.153]"
hsa04070,Phosphatidylinositol signaling system,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [KO:K00922] [EC:2.7.1.153]"
hsa04070,Phosphatidylinositol signaling system,P3R3URF-PIK3R3,P3R3URF-PIK3R3 readthrough [KO:K02649]
hsa04070,Phosphatidylinositol signaling system,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1 [KO:K02649]
hsa04070,Phosphatidylinositol signaling system,PIK3R2,phosphoinositide-3-kinase regulatory subunit 2 [KO:K02649]
hsa04070,Phosphatidylinositol signaling system,PIK3R3,phosphoinositide-3-kinase regulatory subunit 3 [KO:K02649]
hsa04070,Phosphatidylinositol signaling system,PTEN,phosphatase and tensin homolog [KO:K01110] [EC:3.1.3.16 3.1.3.48 3.1.3.67]
hsa04070,Phosphatidylinositol signaling system,INPP5D,inositol polyphosphate-5-phosphatase D [KO:K03084] [EC:3.1.3.86]
hsa04070,Phosphatidylinositol signaling system,INPPL1,inositol polyphosphate phosphatase like 1 [KO:K15909] [EC:3.1.3.86]
hsa04070,Phosphatidylinositol signaling system,INPP4A,inositol polyphosphate-4-phosphatase type I A [KO:K01109] [EC:3.1.3.66]
hsa04070,Phosphatidylinositol signaling system,INPP4B,inositol polyphosphate-4-phosphatase type II B [KO:K01109] [EC:3.1.3.66]
hsa04070,Phosphatidylinositol signaling system,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing [KO:K00921] [EC:2.7.1.150]"
hsa04070,Phosphatidylinositol signaling system,MTM1,myotubularin 1 [KO:K01108] [EC:3.1.3.64 3.1.3.95]
hsa04070,Phosphatidylinositol signaling system,MTMR1,myotubularin related protein 1 [KO:K18081] [EC:3.1.3.64 3.1.3.95]
hsa04070,Phosphatidylinositol signaling system,MTMR2,myotubularin related protein 2 [KO:K18081] [EC:3.1.3.64 3.1.3.95]
hsa04070,Phosphatidylinositol signaling system,MTMR3,myotubularin related protein 3 [KO:K18082] [EC:3.1.3.48 3.1.3.64 3.1.3.95]
hsa04070,Phosphatidylinositol signaling system,MTMR4,myotubularin related protein 4 [KO:K18082] [EC:3.1.3.48 3.1.3.64 3.1.3.95]
hsa04070,Phosphatidylinositol signaling system,MTMR8,myotubularin related protein 8 [KO:K18083] [EC:3.1.3.64 3.1.3.95]
hsa04070,Phosphatidylinositol signaling system,MTMR6,myotubularin related protein 6 [KO:K18083] [EC:3.1.3.64 3.1.3.95]
hsa04070,Phosphatidylinositol signaling system,MTMR7,myotubularin related protein 7 [KO:K18083] [EC:3.1.3.64 3.1.3.95]
hsa04070,Phosphatidylinositol signaling system,MTMR14,myotubularin related protein 14 [KO:K18086] [EC:3.1.3.64 3.1.3.95]
hsa04070,Phosphatidylinositol signaling system,PIP4K2A,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha [KO:K00920] [EC:2.7.1.149]
hsa04070,Phosphatidylinositol signaling system,PIP4K2C,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma [KO:K00920] [EC:2.7.1.149]
hsa04070,Phosphatidylinositol signaling system,PIP4K2B,phosphatidylinositol-5-phosphate 4-kinase type 2 beta [KO:K00920] [EC:2.7.1.149]
hsa04070,Phosphatidylinositol signaling system,PIP4P2,"phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2 [KO:K13084] [EC:3.1.3.78]"
hsa04070,Phosphatidylinositol signaling system,PIP4P1,"phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1 [KO:K13084] [EC:3.1.3.78]"
hsa04070,Phosphatidylinositol signaling system,PIK3C3,phosphatidylinositol 3-kinase catalytic subunit type 3 [KO:K00914] [EC:2.7.1.137]
hsa04070,Phosphatidylinositol signaling system,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha [KO:K00923] [EC:2.7.1.154]
hsa04070,Phosphatidylinositol signaling system,PIK3C2B,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta [KO:K00923] [EC:2.7.1.154]
hsa04070,Phosphatidylinositol signaling system,PIK3C2G,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma [KO:K00923] [EC:2.7.1.154]
hsa04070,Phosphatidylinositol signaling system,PLCB1,phospholipase C beta 1 [KO:K05858] [EC:3.1.4.11]
hsa04070,Phosphatidylinositol signaling system,PLCB2,phospholipase C beta 2 [KO:K05858] [EC:3.1.4.11]
hsa04070,Phosphatidylinositol signaling system,PLCB3,phospholipase C beta 3 [KO:K05858] [EC:3.1.4.11]
hsa04070,Phosphatidylinositol signaling system,PLCB4,phospholipase C beta 4 [KO:K05858] [EC:3.1.4.11]
hsa04070,Phosphatidylinositol signaling system,PLCD3,phospholipase C delta 3 [KO:K05857] [EC:3.1.4.11]
hsa04070,Phosphatidylinositol signaling system,PLCD1,phospholipase C delta 1 [KO:K05857] [EC:3.1.4.11]
hsa04070,Phosphatidylinositol signaling system,PLCD4,phospholipase C delta 4 [KO:K05857] [EC:3.1.4.11]
hsa04070,Phosphatidylinositol signaling system,PLCE1,phospholipase C epsilon 1 [KO:K05860] [EC:3.1.4.11]
hsa04070,Phosphatidylinositol signaling system,PLCG1,phospholipase C gamma 1 [KO:K01116] [EC:3.1.4.11]
